1;Hostrup Musik;Die Forelle (Schubert);koncert;Lied;Horsens;November 2010;800;
2;Event Shopping;Indkøbstaske m. hjul til trapper;hjælpemidler;indkøbsvogne;NULL;NULL;499;
3;Event Shopping;Up Go Shopping Vogn;hjælpemidler;indkøbsvogne;NULL;NULL;299;
4;Event Shopping;Violinkoncert (Brahms);koncert;violinkoncert;Amager;Oktober 2010;300;
5;Trolley Shoppen;Indkøbstaske m. hjul til trapper;hjælpemidler;indkøbsvogne;NULL;NULL;199;
6;Trolley Shoppen;Up Go Shopping Vogn;hjælpemidler;indkøbsvogne;NULL;NULL;299;
7;Seniorshoppen;Tellme C115;kommunikation;telefoner;NULL;NULL;149900;
8;Seniorshoppen;Fleksibel flaskeåbner;hjælpemidler;køkken;NULL;NULL;4900;
9;ForDeÆldre.dk;Good Grip ske;hjælpemidler;køkken;NULL;NULL;10400;
10;ForDeÆldre.dk;Panax siddepude;hjælpemidler;bekvemmelighed;NULL;NULL;29900;
11;Trolley Shoppen;Håndtaske m. ekstra plads;hjælpemidler;indkøbsvogne;NULL;NULL;99900;
12;TilTiden;Termokrus med hank;hjælpemidler;køkken;NULL;NULL;8000;
13;ForDeÆldre.dk;Lysterapi lampe;hjælpemidler;lamper;NULL;NULL;149900;
14;PensionisterIDanmark;Flex kørestol;hjælpemidler;personlig transport;NULL;NULL;375000;
15;PensionisterIDanmark;Vision kørestol;hjælpemidler;personlig transport;NULL;NULL;625000;
16;Seniorshoppen;Proaktiv kørestol;hjælpemidler;personlig transport;NULL;NULL;375000;
17;PensionisterIDanmark;Massagestol;bekvemmelighed;soveværelse;NULL;NULL;419900;
18;TilTiden;Pro-Travel XS Rejsescooter;transport;personlig transport;NULL;NULL;1990000;
19;ForDeÆldre.dk;Pro-Home 3;transport;personlig transport;NULL;NULL;1690000;
20;Seniorshoppen;Albuestok m. standard håndtag;hjælpemidler;krykke;NULL;NULL;13900;
21;Event Shopping;Opera (Romeo & Julie);underholdning;opera;Københavns;December 2011;42500;
22;Event Shopping;Alsang På Skansen 2010;underholdning;koncert;Silkeborg;Juli 2011;40000;
23;Trolley Shoppen;Motion Rollator;transport;personlig transport;NULL;NULL;149900;
24;Trolley Shoppen;Volaris S3 rollator;transport;personlig transport;NULL;NULL;249500;
25;TilTiden;Termo ankelbind;hjælpemidler;special tøj;NULL;NULL;14900;
